timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257223,7249877,7519645,58939770,37277,31391,2022-04-06 14:57:42.192245900 UTC,2022-04-06 15:00:18.983152800 UTC,2022-04-06 14:57:42.192245800 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257239,7249877,7556431,66459415,37277,31391,2022-04-06 14:57:42.192245900 UTC,2022-04-06 15:00:35.228069800 UTC,2022-04-06 14:57:42.192245800 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257282,7629398,7630985,0,0,999999,2022-04-06 15:00:51.760349400 UTC,2022-04-06 15:01:18.291805500 UTC,2022-04-06 15:00:51.760349300 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257299,7629398,7662867,7630985,31882,31882,2022-04-06 15:00:51.760349400 UTC,2022-04-06 15:01:34.548176500 UTC,2022-04-06 15:00:51.760349300 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257315,7629398,7694258,15293852,31882,31391,2022-04-06 15:00:51.760349400 UTC,2022-04-06 15:01:50.809535800 UTC,2022-04-06 15:00:51.760349300 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257331,7629398,7728592,22988110,34334,31391,2022-04-06 15:00:51.760349400 UTC,2022-04-06 15:02:07.053570300 UTC,2022-04-06 15:00:51.760349300 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257348,7629398,7777642,30716702,49050,31391,2022-04-06 15:00:51.760349400 UTC,2022-04-06 15:02:23.329886600 UTC,2022-04-06 15:00:51.760349300 UTC,108,64,90
timestamp,starting_souls,souls_this_run,app_yield_total,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649257364,7629398,7811976,38494344,49050,31391,2022-04-06 15:00:51.760349400 UTC,2022-04-06 15:02:39.574124800 UTC,2022-04-06 15:00:51.760349300 UTC,108,64,90
